OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
752420,04092010617,Rex Hospital Cafeteria,4420 LAKE BOONE TRL,,RALEIGH,NC,27607-6599,(919) 784-4173,1991/05/13 00:00:00+00,Restaurant,6,-78.70242018,35.81817246,M
752421,04092160021,Woodland Terrace Assisted Living Foodservice,300 Kildaire Woods Dr ,,CARY,NC,27511,(919) 465-0356,2001/09/05 00:00:00+00,Institutional Food Service,26,-78.7790102,35.76613538,M
752422,04092012834,Mcdonald's #18969,1305 E WILLIAMS ST,,APEX,NC,27502-2188,(919) 362-5890,1998/11/16 00:00:00+00,Restaurant,27,-78.84062903,35.71592776,M
752423,04092012930,PTA Of Wake Forest,12277 CAPITAL BLVD ,,WAKE FOREST,NC,27587-6200,(919) 554-1400,1999/05/17 00:00:00+00,Restaurant,35,-78.54097555,35.98087356,M
752424,04092020607,DOMINOS PIZZA #8940,1368 N MAIN ST ,,FUQUAY VARINA,NC,27526-2617,(919) 557-5551,1994/05/20 00:00:00+00,Food Stand,59,-78.77533261,35.59075123,M
752425,04092013291,Biscuitville # 169,605 STELLATA DR ,,FUQUAY VARINA,NC,27526-1946,(919) 577-6380,2001/03/01 00:00:00+00,Restaurant,69,-78.78197965,35.59136738,M
752426,04092013767,Bojangles # 31,10610 Durant Rd ,,RALEIGH,NC,27614,(919) 870-8002,2003/02/18 00:00:00+00,Restaurant,76,-78.59121781,35.90586931,M
752427,04092012901,Links Grille At Lochmere,2511 KILDAIRE FARM RD,,CARY,NC,27511-9611,(919) 851-0611,1999/03/29 00:00:00+00,Restaurant,97,-78.76802116,35.72297677,M
752428,04092011501,BOSTON MARKET,4558 Capital Blv ,,RALEIGH,NC,27604-4353,(919) 981-7450,1994/08/22 00:00:00+00,Restaurant,127,-78.57896604,35.84571366,M
752429,04092110079,Fox Road Elementary Cafeteria,7101 Fox Rd,,RALEIGH,NC,27616-6353,(919) 850-8845 ext. 23935,1991/10/28 00:00:00+00,Public School Lunchrooms,140,-78.55535345,35.87372438,M
752430,04092010286,GLAXO ZEBULON FOODSERVICE,1011 N ARENDELL AVE ,,ZEBULON,NC,27597,(919) 269-1092,1991/08/23 00:00:00+00,Restaurant,168,-78.32849606,35.83040203,M
752431,04092013805,McDonald's #28245,110 Carillon Dr ,,GARNER,NC,27529,(919) 771-2441,2003/04/23 00:00:00+00,Restaurant,175,-78.58282245,35.69257858,M
752432,04092160031,Tower Nursing and Rehabilitation Center Kitchen,3609 Bond St,,RALEIGH,NC,27604,(919) 231-8113,2003/07/10 00:00:00+00,Institutional Food Service,184,-78.58155103,35.80357736,M
752433,04092110138,Cary Elementary Cafeteria,400 Kildaire Farm Rd ,,CARY,NC,27511,(919) 460-3455 ext. 26759,2003/08/07 00:00:00+00,Public School Lunchrooms,238,-78.78171142,35.78101554,M
752434,04092011257,K & W Cafeteria,511 WOODBURN RD ,,RALEIGH,NC,27605-1325,(919) 832-7505,1993/03/29 00:00:00+00,Restaurant,248,-78.66105804,35.79149603,M
752435,04092014126,Ruth's Chris Steakhouse,2010 Rennaisance Park PL ,,CARY,NC,27513,(919) 677-0033,2004/08/17 00:00:00+00,Restaurant,284,-78.77115656,35.82699882,M
752436,04092011070,OUTBACK STEAKHOUSE #3440,7500 CREEDMOOR RD ,,RALEIGH,NC,27613-1641,(919) 846-3848,1992/08/10 00:00:00+00,Restaurant,297,-78.67924027,35.88823629,M
752437,04092020813,Papa Johns Pizza #1625,6510 GLENWOOD AVE ,,RALEIGH,NC,27612-7156,(919) 786-9900,1997/07/27 00:00:00+00,Food Stand,301,-78.70609774,35.86074545,M
752438,04092013006,Bojangles,2620 Atlantic Ave,,RALEIGH,NC,27604-1502,(919) 546-9701,1999/09/08 00:00:00+00,Restaurant,310,-78.61499718,35.81836916,M
752439,04092012979,Jersey Mikes Restaurant,1761 W Williams ST ,,APEX,NC,27502,(919) 363-6453,1999/07/21 00:00:00+00,Restaurant,321,-78.87770701,35.75964934,M
752440,04092011497,Barnes And Noble Cafe,4325 GLENWOOD AVE,,RALEIGH,NC,27612-4532,(919) 782-0030,1994/06/03 00:00:00+00,Restaurant,325,-78.68184484,35.84183815,T
752441,04092012996,Glenaire Dining Services,4000 Glenaire Circle ,,CARY,NC,27511-3802,(919) 447-4482,1999/08/19 00:00:00+00,Restaurant,330,-78.78515931,35.77628348,M
752442,04092012980,The Sports Page Bar & Grill,835 N SMITHFIELD RD ,,KNIGHTDALE,NC,27545-7717,(919) 266-3130,1999/07/20 00:00:00+00,Restaurant,339,-78.48796476,35.79576936,M
752443,04092300049,Fresh Market Seafood and Meat Market,400 WOODBURN RD,,RALEIGH,NC,27605-1324,(919) 828-7888,1991/08/26 00:00:00+00,Meat Market,355,-78.65855965,35.78994083,M
752444,04092011977,Honeybaked Ham Company,423 CROSSROADS BLVD ,,CARY,NC,27511-6896,(919) 854-1222,1996/11/22 00:00:00+00,Restaurant,358,-78.73871452,35.76064286,M
752445,04092013755,Barham's Restaurant,122 N ARENDELL AVE ,,ZEBULON,NC,27597-2602,(919) 404-0589,2002/09/17 00:00:00+00,Restaurant,378,-78.31270783,35.82194243,M
752446,04092021112,WalMart Deli,1051 E BROAD ST ,,FUQUAY VARINA,NC,27526-1799,(919) 567-2350,2002/03/19 00:00:00+00,Food Stand,387,-78.7815038,35.5944012,M
752447,04092013752,Chili's Bar and Grill,3411 Sumner Blv ,,RALEIGH,NC,27616,(919) 792-2545,2003/01/03 00:00:00+00,Restaurant,406,-78.57603863,35.86599856,M
752448,04092050023,Knightdale Headstart Kitchen,1020 Todd Rd ,,KNIGHTDALE,NC,27545,(919) 266-1240,2003/08/27 00:00:00+00,Private School Lunchrooms,407,-78.44699487,35.83204765,M
752449,04092300094,Harris Teeter #21 Meat Market,500 OBERLIN RD ,,RALEIGH,NC,27605-1327,(919) 828-9216,1994/11/01 00:00:00+00,Meat Market,461,-78.66105804,35.79149603,M
752450,04092013239,Global Village Organic Coffee,2428 HILLSBOROUGH ST ,,RALEIGH,NC,27607-7248,(919) 828-4567,2000/11/22 00:00:00+00,Restaurant,462,-78.66770199,35.78790613,M
752451,04092160001,CHATHAM COMMONS - CARY REST HOME FOODSERVICE,809 W CHATHAM St ,,CARY,NC,27511,(919) 469-9309,2003/03/06 00:00:00+00,Institutional Food Service,499,-78.79327826,35.78204056,M
752452,04092020610,Harris Teeter #26 Produce ,7400 CREEDMOOR RD,,RALEIGH,NC,27613-1639,(919) 848-1464,1994/05/25 00:00:00+00,Food Stand,509,-78.67820041,35.88787167,M
752453,04092013943,St. Raphael Hall Foodservice,5801 Falls Of Neuse Rd ,,RALEIGH,NC,27609,(919) 865-5705,2003/12/01 00:00:00+00,Restaurant,525,-78.61925176,35.85949781,M
752454,04092011875,Goodberry's,9700 STRICKLAND RD,,RALEIGH,NC,27615-1939,(919) 676-8580,1996/05/17 00:00:00+00,Restaurant,538,-78.65695874,35.90221401,M
752455,04092011740,Burger King #9246,3500 POOLE RD ,,RALEIGH,NC,27610-2904,(919) 231-3008,1995/10/03 00:00:00+00,Restaurant,553,-78.57714053,35.76737546,M
752456,04092011206,Education Bldg. Snack Bar,301 N Wilmington St,,RALEIGH,NC,27601-1058,(919) 733-3329,1993/01/20 00:00:00+00,Restaurant,586,-78.63881833,35.78561791,M
752457,04092021288,Harris Teeter #43 Meat Market & Seafood,3638 Rogers Rd ,,WAKE FOREST,NC,27587,(919) 562-9521,2004/08/03 00:00:00+00,Food Stand,599,-78.50482681,35.94464173,M
752458,04092011817,BURGER KING #6010,7300 CREEDMOOR RD ,,RALEIGH,NC,27613-1637,(919) 846-9002,1996/01/23 00:00:00+00,Restaurant,600,-78.67905329,35.8865906,M
752459,04092012212,Starbucks #8270,7498 CREEDMOOR RD ,,RALEIGH,NC,27613-1664,(919) 846-0633,1998/03/25 00:00:00+00,Restaurant,607,-78.67820041,35.88787167,M
752460,04092010076,The Border Restaurant,712 N Main St,,WAKE FOREST,NC,27587,(919) 556-2125,1991/04/29 00:00:00+00,Restaurant,639,-78.50485152,35.98936616,M
752461,04092013632,River Ridge Golf Club,3224 Auburn-Knightdale Rd RD ,,RALEIGH,NC,27610,(919) 661-8374,2002/07/11 00:00:00+00,Restaurant,647,-78.52542842,35.7282959,M
752462,04092012063,Whole Foods Market Cafe,3540 WADE AVE ,,RALEIGH,NC,27607-4048,(919) 828-5805,1997/06/19 00:00:00+00,Restaurant,669,-78.68558086,35.80212022,M
